"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 12:27:27 GMT 2024","Wed Aug 28 12:27:31 GMT 2024","3935","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test4validarNavegacaoBlogSection","test4validarNavegacaoBlogSection()","CT-004 Validar navegação para seção 'Blog'"
"broken","Wed Aug 28 12:28:51 GMT 2024","Wed Aug 28 12:28:58 GMT 2024","7256","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarAumentarAQuantidadeDeProdutoNoCarrinho","validarAumentarAQuantidadeDeProdutoNoCarrinho()","CE-08 Validar Aumentar Quantidade de produto do carrinho"
"passed","Wed Aug 28 12:26:17 GMT 2024","Wed Aug 28 12:26:33 GMT 2024","15678","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test1validarContactUsDadosValidos","test1validarContactUsDadosValidos()","CT-001 Validar ContactUs com dados valido"
"passed","Wed Aug 28 12:25:38 GMT 2024","Wed Aug 28 12:25:42 GMT 2024","3865","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkRSS","validarLinkRSS()","FE-03 Validar acesso ao feed RSS através do ícone de redes sociais"
"passed","Wed Aug 28 12:25:45 GMT 2024","Wed Aug 28 12:25:52 GMT 2024","6660","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyCreditSlips","validarLinkMyCreditSlips()","FE-09 Validar navegação para a página de meus comprovantes de crédito"
"passed","Wed Aug 28 12:24:13 GMT 2024","Wed Aug 28 12:24:24 GMT 2024","10205","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test1ValidarEnvioSenhaNovaComEmailValido","test1ValidarEnvioSenhaNovaComEmailValido()","CT-001 Validar ForgotPassword com email valido"
"passed","Wed Aug 28 12:23:02 GMT 2024","Wed Aug 28 12:23:06 GMT 2024","4433","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test2validarLoginComEmailInvalido","test2validarLoginComEmailInvalido()","CT-002 Validar Login com email inválido"
"broken","Wed Aug 28 12:28:33 GMT 2024","Wed Aug 28 12:28:39 GMT 2024","5991","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCheckoutSemLogin","validarCheckoutSemLogin()","CE-06 Validar comportamento ao tentar finalizar compra com usuario sem login"
"broken","Wed Aug 28 12:27:58 GMT 2024","Wed Aug 28 12:28:12 GMT 2024","13594","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarMensagemCheckboxTermosVazio","validarMensagemCheckboxTermosVazio()","CE-04 Validar comportamento ao tentar continuar sem aceitar os termos de serviço"
"passed","Wed Aug 28 12:26:02 GMT 2024","Wed Aug 28 12:26:07 GMT 2024","5150","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test2ValidarEnvioNewsletterComEmailJaCadastrado","test2ValidarEnvioNewsletterComEmailJaCadastrado()","CT-004 Validar Newsletter com email ja cadastrado"
"passed","Wed Aug 28 12:24:24 GMT 2024","Wed Aug 28 12:24:29 GMT 2024","5236","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test2ValidarTentativaDeEnvioSenhaNovaComEmailNãoCadastrado","test2ValidarTentativaDeEnvioSenhaNovaComEmailNãoCadastrado()","CT-003 Validar ForgotPassword com email não cadastrado"
"passed","Wed Aug 28 12:24:29 GMT 2024","Wed Aug 28 12:24:35 GMT 2024","6613","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyAddresses","validarLinkMyAddresses()","FE-10 Validar navegação para a página de meus endereços"
"passed","Wed Aug 28 12:23:10 GMT 2024","Wed Aug 28 12:23:15 GMT 2024","4482","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test4validarLoginComDadosNaoCadastrados","test4validarLoginComDadosNaoCadastrados()","CT-004 Validar Login com dados não cadastrados"
"broken","Wed Aug 28 12:28:12 GMT 2024","Wed Aug 28 12:28:23 GMT 2024","11510","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCheckoutPagamentoCheck","validarCheckoutPagamentoCheck()","CE-02 Validar adição de item ao carrinho e conclusão do checkout com pagamento via Check"
"passed","Wed Aug 28 12:23:49 GMT 2024","Wed Aug 28 12:23:53 GMT 2024","3922","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test4validarRegistroEmailExistente","test4validarRegistroEmailExistente()","CT-004 Validar Registro com email existente"
"passed","Wed Aug 28 12:26:54 GMT 2024","Wed Aug 28 12:27:09 GMT 2024","15177","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test5validarContactUsSemArquivoAnexado","test5validarContactUsSemArquivoAnexado()","CT-005 Validar ContactUs sem arquivo anexado"
"passed","Wed Aug 28 12:23:19 GMT 2024","Wed Aug 28 12:23:24 GMT 2024","4307","","br.com.dbccompany.test.SearchTest","","br.com.dbccompany.test.SearchTest","test2validarBuscaProdutoInexistente","test2validarBuscaProdutoInexistente()","CT-002 Validar busca de produto inexistente"
"passed","Wed Aug 28 12:25:57 GMT 2024","Wed Aug 28 12:26:02 GMT 2024","4832","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test3ValidarEnvioNewsletterComEmailEmBranco","test3ValidarEnvioNewsletterComEmailEmBranco()","CT-003 Validar Newsletter com email em branco"
"passed","Wed Aug 28 12:25:32 GMT 2024","Wed Aug 28 12:25:38 GMT 2024","5379","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkWomenSection","validarLinkWomenSection()","FE-04 Validar navegação para a seção de mulheres através do link de categorias"
"passed","Wed Aug 28 12:25:16 GMT 2024","Wed Aug 28 12:25:24 GMT 2024","7350","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyOrders","validarLinkMyOrders()","FE-08 Validar navegação para a página de meus pedidos"
"passed","Wed Aug 28 12:25:12 GMT 2024","Wed Aug 28 12:25:16 GMT 2024","4884","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkTermsAndConditions","validarLinkTermsAndConditions()","FE-06 Validar navegação para os termos e condições"
"passed","Wed Aug 28 12:27:19 GMT 2024","Wed Aug 28 12:27:23 GMT 2024","3845","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test6validarNavegacaoBestSellersSection","test6validarNavegacaoBestSellersSection()","CT-006 Validar navegação para seção 'Best Sellers'"
"passed","Wed Aug 28 12:26:33 GMT 2024","Wed Aug 28 12:26:38 GMT 2024","5315","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test2validarContactUsComEmailInvalidos","test2validarContactUsComEmailInvalidos()","CT-002 Validar ContactUs com email invalido"
"broken","Wed Aug 28 12:28:39 GMT 2024","Wed Aug 28 12:28:45 GMT 2024","6224","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCarrinhoVazioAposPagamento","validarCarrinhoVazioAposPagamento()","CE-07 Validar carrinho está vazio após o pagamento"
"passed","Wed Aug 28 12:25:42 GMT 2024","Wed Aug 28 12:25:45 GMT 2024","3842","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkFacebook","validarLinkFacebook()","FE-01 Validar acesso ao perfil do Facebook através do ícone de redes sociais"
"passed","Wed Aug 28 12:27:35 GMT 2024","Wed Aug 28 12:27:41 GMT 2024","6187","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test3validarNavegacaoTShirtSection","test3validarNavegacaoTShirtSection()","CT-003 Validar navegação para seção 'T-shirt'"
"passed","Wed Aug 28 12:23:53 GMT 2024","Wed Aug 28 12:23:58 GMT 2024","5354","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test3validarRegistroComSenhaInvalida","test3validarRegistroComSenhaInvalida()","CT-003 Validar Registro com senha inválida"
"passed","Wed Aug 28 12:27:14 GMT 2024","Wed Aug 28 12:27:19 GMT 2024","5197","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test2validarNavegacaoDressesSection","test2validarNavegacaoDressesSection()","CT-002 Validar navegação para seção 'Dresses'"
"broken","Wed Aug 28 12:27:31 GMT 2024","Wed Aug 28 12:27:35 GMT 2024","3826","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test1validarNavegacaoSessaoWomen","test1validarNavegacaoSessaoWomen()","CT-001 Validar navegação para seção 'Women'"
"passed","Wed Aug 28 12:23:15 GMT 2024","Wed Aug 28 12:23:19 GMT 2024","4265","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test3validarLoginComSenhaInvalida","test3validarLoginComSenhaInvalida()","CT-003 Validar Login com senha inválida"
"passed","Wed Aug 28 12:25:01 GMT 2024","Wed Aug 28 12:25:12 GMT 2024","10178","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyPersonalInfo","validarLinkMyPersonalInfo()","FE-11 Validar navegação para a página de minhas informações pessoais"
"passed","Wed Aug 28 12:24:49 GMT 2024","Wed Aug 28 12:24:57 GMT 2024","7539","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarNavegacaoPaginaDetalheDaCompra","validarNavegacaoPaginaDetalheDaCompra()","FE-12 Validar navegação para a página de detalhes do pedido"
"passed","Wed Aug 28 12:26:07 GMT 2024","Wed Aug 28 12:26:12 GMT 2024","4793","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test2ValidarEnvioNewsletterComEmailInvalido","test2ValidarEnvioNewsletterComEmailInvalido()","CT-002 Validar Newsletter com email invalido"
"passed","Wed Aug 28 12:23:06 GMT 2024","Wed Aug 28 12:23:10 GMT 2024","4442","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test1validarLoginDadosValidos","test1validarLoginDadosValidos()","CT-001 Validar Login com dados validos"
"passed","Wed Aug 28 12:27:23 GMT 2024","Wed Aug 28 12:27:27 GMT 2024","3990","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test5validarNavegacaoPopularSection","test5validarNavegacaoPopularSection()","CT-005 Validar navegação para seção 'Popular'"
"passed","Wed Aug 28 12:27:09 GMT 2024","Wed Aug 28 12:27:14 GMT 2024","5402","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test3validarContactUsComMensagemVazia","test3validarContactUsComMensagemVazia()","CT-003 Validar ContactUs com mensagem vazia"
"passed","Wed Aug 28 12:25:52 GMT 2024","Wed Aug 28 12:25:57 GMT 2024","4906","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test1ValidarEnvioNewsletterComEmailValido","test1ValidarEnvioNewsletterComEmailValido()","CT-001 Validar Newsletter com email valido"
"broken","Wed Aug 28 12:27:41 GMT 2024","Wed Aug 28 12:27:50 GMT 2024","8789","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCheckoutComVariaçãoDeTamanhoECor","validarCheckoutComVariaçãoDeTamanhoECor()","CE-03 Validar processo de checkout com seleção de tamanho e cor"
"passed","Wed Aug 28 12:24:35 GMT 2024","Wed Aug 28 12:24:39 GMT 2024","3945","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkContatoEmail","validarLinkContatoEmail()","FE-14 Validar o link para enviar email de contato"
"passed","Wed Aug 28 12:22:56 GMT 2024","Wed Aug 28 12:23:01 GMT 2024","5386","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","exampleTest","exampleTest()","This is a simple test case for Allure report."
"passed","Wed Aug 28 12:23:24 GMT 2024","Wed Aug 28 12:23:28 GMT 2024","4396","","br.com.dbccompany.test.SearchTest","","br.com.dbccompany.test.SearchTest","test1validarBuscaProdutoExistente","test1validarBuscaProdutoExistente()","CT-001 Validar busca de produto existente"
"passed","Wed Aug 28 12:24:08 GMT 2024","Wed Aug 28 12:24:13 GMT 2024","4961","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test2ValidarTentativaDeEnvioSenhaNovaComEmailInvalido","test2ValidarTentativaDeEnvioSenhaNovaComEmailInvalido()","CT-002 Validar ForgotPassword com email invalido"
"passed","Wed Aug 28 12:24:39 GMT 2024","Wed Aug 28 12:24:49 GMT 2024","9796","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarFazerACompraNovamente","validarFazerACompraNovamente()","FE-13 Validar o re-pedido de um pedido já finalizado"
"passed","Wed Aug 28 12:23:58 GMT 2024","Wed Aug 28 12:24:03 GMT 2024","4204","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test2validarRegistroComEmailInvalido","test2validarRegistroComEmailInvalido()","CT-002 Validar Registro com email inválido"
