"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 11:58:28 GMT 2024","Wed Aug 28 11:58:33 GMT 2024","5504","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarNavegacaoPaginaDetalheDaCompra","validarNavegacaoPaginaDetalheDaCompra()","FE-12 Validar navegação para a página de detalhes do pedido"
"broken","Wed Aug 28 12:01:24 GMT 2024","Wed Aug 28 12:01:29 GMT 2024","4996","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCheckoutSemLogin","validarCheckoutSemLogin()","CE-06 Validar comportamento ao tentar finalizar compra com usuario sem login"
"passed","Wed Aug 28 12:00:33 GMT 2024","Wed Aug 28 12:00:37 GMT 2024","4013","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test2validarNavegacaoDressesSection","test2validarNavegacaoDressesSection()","CT-002 Validar navegação para seção 'Dresses'"
"passed","Wed Aug 28 11:57:50 GMT 2024","Wed Aug 28 11:57:54 GMT 2024","4111","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test2ValidarTentativaDeEnvioSenhaNovaComEmailEmBranco","test2ValidarTentativaDeEnvioSenhaNovaComEmailEmBranco()","CT-004 Validar ForgotPassword com email em branco"
"broken","Wed Aug 28 12:01:29 GMT 2024","Wed Aug 28 12:01:35 GMT 2024","5123","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCarrinhoVazioAposPagamento","validarCarrinhoVazioAposPagamento()","CE-07 Validar carrinho está vazio após o pagamento"
"passed","Wed Aug 28 11:58:21 GMT 2024","Wed Aug 28 11:58:28 GMT 2024","6681","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarFazerACompraNovamente","validarFazerACompraNovamente()","FE-13 Validar o re-pedido de um pedido já finalizado"
"passed","Wed Aug 28 11:59:08 GMT 2024","Wed Aug 28 11:59:13 GMT 2024","5156","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyCreditSlips","validarLinkMyCreditSlips()","FE-09 Validar navegação para a página de meus comprovantes de crédito"
"passed","Wed Aug 28 11:58:42 GMT 2024","Wed Aug 28 11:58:46 GMT 2024","3551","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkTermsAndConditions","validarLinkTermsAndConditions()","FE-06 Validar navegação para os termos e condições"
"passed","Wed Aug 28 11:57:05 GMT 2024","Wed Aug 28 11:57:08 GMT 2024","3175","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test3validarLoginComSenhaInvalida","test3validarLoginComSenhaInvalida()","CT-003 Validar Login com senha inválida"
"passed","Wed Aug 28 11:59:29 GMT 2024","Wed Aug 28 11:59:34 GMT 2024","5851","","br.com.dbccompany.test.LogoutTest","","br.com.dbccompany.test.LogoutTest","test1validarLogoutComSucesso","test1validarLogoutComSucesso()","CT-001 Validar Logout com sucesso"
"passed","Wed Aug 28 11:58:37 GMT 2024","Wed Aug 28 11:58:42 GMT 2024","5255","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyPersonalInfo","validarLinkMyPersonalInfo()","FE-11 Validar navegação para a página de minhas informações pessoais"
"passed","Wed Aug 28 11:58:46 GMT 2024","Wed Aug 28 11:58:51 GMT 2024","5380","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyOrders","validarLinkMyOrders()","FE-08 Validar navegação para a página de meus pedidos"
"passed","Wed Aug 28 11:59:17 GMT 2024","Wed Aug 28 11:59:21 GMT 2024","3723","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test3ValidarEnvioNewsletterComEmailEmBranco","test3ValidarEnvioNewsletterComEmailEmBranco()","CT-003 Validar Newsletter com email em branco"
"passed","Wed Aug 28 11:57:02 GMT 2024","Wed Aug 28 11:57:05 GMT 2024","3513","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test4validarLoginComDadosNaoCadastrados","test4validarLoginComDadosNaoCadastrados()","CT-004 Validar Login com dados não cadastrados"
"broken","Wed Aug 28 12:01:19 GMT 2024","Wed Aug 28 12:01:24 GMT 2024","5905","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarExcluirProdutoDoCarrinho","validarExcluirProdutoDoCarrinho()","CE-08 Validar Excluir produto do carrinho"
"passed","Wed Aug 28 11:59:21 GMT 2024","Wed Aug 28 11:59:25 GMT 2024","3884","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test2ValidarEnvioNewsletterComEmailJaCadastrado","test2ValidarEnvioNewsletterComEmailJaCadastrado()","CT-004 Validar Newsletter com email ja cadastrado"
"passed","Wed Aug 28 12:00:29 GMT 2024","Wed Aug 28 12:00:33 GMT 2024","3864","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test3validarContactUsComMensagemVazia","test3validarContactUsComMensagemVazia()","CT-003 Validar ContactUs com mensagem vazia"
"passed","Wed Aug 28 11:57:42 GMT 2024","Wed Aug 28 11:57:47 GMT 2024","4805","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test3validarRegistroComSenhaInvalida","test3validarRegistroComSenhaInvalida()","CT-003 Validar Registro com senha inválida"
"passed","Wed Aug 28 11:58:09 GMT 2024","Wed Aug 28 11:58:13 GMT 2024","4222","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test2ValidarTentativaDeEnvioSenhaNovaComEmailNãoCadastrado","test2ValidarTentativaDeEnvioSenhaNovaComEmailNãoCadastrado()","CT-003 Validar ForgotPassword com email não cadastrado"
"passed","Wed Aug 28 12:00:10 GMT 2024","Wed Aug 28 12:00:29 GMT 2024","18532","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test5validarContactUsSemArquivoAnexado","test5validarContactUsSemArquivoAnexado()","CT-005 Validar ContactUs sem arquivo anexado"
"broken","Wed Aug 28 12:01:06 GMT 2024","Wed Aug 28 12:01:12 GMT 2024","5863","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarMensagemCheckboxTermosVazio","validarMensagemCheckboxTermosVazio()","CE-04 Validar comportamento ao tentar continuar sem aceitar os termos de serviço"
"broken","Wed Aug 28 12:01:01 GMT 2024","Wed Aug 28 12:01:06 GMT 2024","5651","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCompraUsuarioSemEndereço","validarCompraUsuarioSemEndereço()","CE-05 Validar comportamento ao tentar finalizar compra com usuario sem endereço"
"passed","Wed Aug 28 11:56:50 GMT 2024","Wed Aug 28 11:56:54 GMT 2024","3829","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","exampleTest","exampleTest()","This is a simple test case for Allure report."
"broken","Wed Aug 28 12:00:47 GMT 2024","Wed Aug 28 12:00:50 GMT 2024","3097","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test1validarNavegacaoSessaoWomen","test1validarNavegacaoSessaoWomen()","CT-001 Validar navegação para seção 'Women'"
"passed","Wed Aug 28 11:58:33 GMT 2024","Wed Aug 28 11:58:37 GMT 2024","3556","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarlinkOurStores","validarlinkOurStores()","FE-05 Validar navegação para a página de nossas lojas"
"passed","Wed Aug 28 11:58:58 GMT 2024","Wed Aug 28 11:59:02 GMT 2024","4157","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkWomenSection","validarLinkWomenSection()","FE-04 Validar navegação para a seção de mulheres através do link de categorias"
"broken","Wed Aug 28 12:01:40 GMT 2024","Wed Aug 28 12:01:47 GMT 2024","6341","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarAumentarAQuantidadeDeProdutoNoCarrinho","validarAumentarAQuantidadeDeProdutoNoCarrinho()","CE-08 Validar Aumentar Quantidade de produto do carrinho"
"passed","Wed Aug 28 11:58:18 GMT 2024","Wed Aug 28 11:58:21 GMT 2024","2981","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkContatoEmail","validarLinkContatoEmail()","FE-14 Validar o link para enviar email de contato"
